Booking_id,Booking_date,User_id,Line_of_business
b1,2022-03-23,u1,Flight
b2,2022-03-27,u2,Flight
b3,2022-03-28,u1,Hotel
b4,2022-03-31,u4,Flight
b5,2022-04-02,u1,Hotel
b6,2022-04-02,u2,Flight
b7,2022-04-06,u5,Flight
b8,2022-04-06,u6,Hotel
b9,2022-04-06,u2,Flight
b10,2022-04-10,u1,Flight
b11,2022-04-12,u4,Flight
b12,2022-04-16,u1,Flight
b13,2022-04-19,u2,Flight
b14,2022-04-20,u5,Hotel
b15,2022-04-22,u6,Flight
b16,2022-04-26,u4,Hotel
b17,2022-04-28,u2,Hotel
b18,2022-04-30,u1,Hotel
b19,2022-05-04,u4,Hotel
b20,2022-05-06,u1,Flight
